央视频道,#genre#
CCTV13,http://221.237.145.25:4000/rtp/239.93.0.66:5140
CCTV14,http://221.237.145.25:4000/rtp/239.93.1.29:6000
CCTV16,http://221.237.145.25:4000/rtp/239.93.42.54:5140
CCTV17,http://221.237.145.25:4000/rtp/239.93.0.92:5140
CCTV世界地理,http://183.222.206.14:8096/rtp/239.93.0.200:9052
CCTV世界地理,http://221.237.145.25:4000/rtp/239.93.0.200:9052
CCTV世界地理,http://222.210.153.89:8888/rtp/239.93.0.200:9052
CCTV高网频道,http://183.222.206.14:8096/rtp/239.93.0.202:9068
CCTV高网频道,http://221.237.145.25:4000/rtp/239.93.0.202:9068
CCTV高网频道,http://222.210.153.89:8888/rtp/239.93.0.202:9068
卫视频道,#genre#
湖南卫视,http://183.222.206.14:8096/rtp/239.93.0.88:5140
湖南卫视,http://221.237.145.25:4000/rtp/239.93.0.88:5140
浙江卫视,http://183.222.206.14:8096/rtp/239.93.0.124:5140
浙江卫视,http://221.237.145.25:4000/rtp/239.93.0.124:5140
江苏卫视,http://221.237.145.25:4000/rtp/239.93.0.89:5140
江苏卫视,http://222.210.153.89:8888/rtp/239.93.0.89:5140
北京卫视,http://183.222.206.14:8096/rtp/239.93.0.180:5140
北京卫视,http://221.237.145.25:4000/rtp/239.93.0.180:5140
安徽卫视,http://221.237.145.25:4000/rtp/239.93.1.106:5140
广东卫视,http://183.222.206.14:8096/rtp/239.93.0.181:5140
广东卫视,http://221.237.145.25:4000/rtp/239.93.0.181:5140
广东卫视,http://222.210.153.89:8888/rtp/239.93.0.181:5140
深圳卫视,http://183.222.206.14:8096/rtp/239.93.0.182:5140
深圳卫视,http://221.237.145.25:4000/rtp/239.93.0.182:5140
辽宁卫视,http://221.237.145.25:4000/rtp/239.93.1.108:5140
海南卫视,http://221.237.145.25:4000/rtp/239.93.0.80:5140
山东卫视,http://183.222.206.14:8096/rtp/239.93.0.168:5140
山东卫视,http://221.237.145.25:4000/rtp/239.93.0.168:5140
天津卫视,http://183.222.206.14:8096/rtp/239.93.0.167:5140
天津卫视,http://221.237.145.25:4000/rtp/239.93.0.167:5140
天津卫视,http://222.210.153.89:8888/rtp/239.93.0.167:5140
重庆卫视,http://221.237.145.25:4000/rtp/239.93.1.107:5140
重庆卫视,http://222.210.153.89:8888/rtp/239.93.1.107:5140
东南卫视,http://222.210.153.89:8888/rtp/239.93.0.42:5140
甘肃卫视,http://221.237.145.25:4000/rtp/239.93.0.81:5140
甘肃卫视,http://222.210.153.89:8888/rtp/239.93.0.81:5140
广西卫视,http://183.222.206.14:8096/rtp/239.93.42.46:5140
广西卫视,http://221.237.145.25:4000/rtp/239.93.42.46:5140
广西卫视,http://222.210.153.89:8888/rtp/239.93.42.46:5140
贵州卫视,http://183.222.206.14:8096/rtp/239.93.0.131:5140
贵州卫视,http://221.237.145.25:4000/rtp/239.93.0.131:5140
河北卫视,http://221.237.145.25:4000/rtp/239.93.0.132:5140
黑龙江卫视,http://183.222.206.14:8096/rtp/239.93.0.183:5140
河南卫视,http://183.222.206.14:8096/rtp/239.93.42.45:5140
河南卫视,http://221.237.145.25:4000/rtp/239.93.42.45:5140
湖北卫视,http://221.237.145.25:4000/rtp/239.93.0.250:5140
湖北卫视,http://222.210.153.89:8888/rtp/239.93.0.250:5140
江西卫视,http://183.222.206.14:8096/rtp/239.93.0.134:5140
江西卫视,http://221.237.145.25:4000/rtp/239.93.0.134:5140
江西卫视,http://222.210.153.89:8888/rtp/239.93.0.134:5140
吉林卫视,http://221.237.145.25:4000/rtp/239.93.0.248:5140
内蒙古卫视,http://183.222.206.14:8096/rtp/239.93.0.8:5140
内蒙古卫视,http://221.237.145.25:4000/rtp/239.93.0.8:5140
内蒙古卫视,http://222.210.153.89:8888/rtp/239.93.0.8:5140
宁夏卫视,http://183.222.206.14:8096/rtp/239.93.0.247:5140
宁夏卫视,http://221.237.145.25:4000/rtp/239.93.0.247:5140
山西卫视,http://183.222.206.14:8096/rtp/239.93.0.6:5140
山西卫视,http://221.237.145.25:4000/rtp/239.93.0.6:5140
四川卫视,http://221.237.145.25:4000/rtp/239.93.0.20:1235
新疆卫视,http://183.222.206.14:8096/rtp/239.93.0.194:5140
新疆卫视,http://221.237.145.25:4000/rtp/239.93.0.194:5140
厦门卫视,http://183.222.206.14:8096/rtp/239.93.42.57:5140
厦门卫视,http://221.237.145.25:4000/rtp/239.93.42.57:5140
青海卫视,http://183.222.206.14:8096/rtp/239.93.0.192:5140
青海卫视,http://221.237.145.25:4000/rtp/239.93.0.192:5140
青海卫视,http://222.210.153.89:8888/rtp/239.93.0.192:5140
西藏卫视,http://183.222.206.14:8096/rtp/239.93.0.175:5140
西藏卫视,http://221.237.145.25:4000/rtp/239.93.0.175:5140
西藏卫视,http://222.210.153.89:8888/rtp/239.93.0.175:5140
兵团卫视,http://183.222.206.14:8096/rtp/239.93.42.43:5140
兵团卫视,http://221.237.145.25:4000/rtp/239.93.42.43:5140
兵团卫视,http://222.210.153.89:8888/rtp/239.93.42.43:5140
康巴卫视,http://221.237.145.25:4000/rtp/239.93.0.41:5140
三沙卫视,http://221.237.145.25:4000/rtp/239.93.42.58:5140
卡酷动画,http://221.237.145.25:4000/rtp/239.93.0.208:5140
卡酷动画,http://222.210.153.89:8888/rtp/239.93.0.208:5140
哈哈炫动,http://183.222.206.14:8096/rtp/239.93.0.173:5140
哈哈炫动,http://221.237.145.25:4000/rtp/239.93.0.173:5140
金鹰卡通,http://183.222.206.14:8096/rtp/239.93.0.108:5140
金鹰卡通,http://221.237.145.25:4000/rtp/239.93.0.108:5140
金鹰卡通,http://222.210.153.89:8888/rtp/239.93.0.108:5140
嘉佳卡通,http://221.237.145.25:4000/rtp/239.93.0.246:5140
优漫卡通,http://221.237.145.25:4000/rtp/239.93.0.251:5140
数字频道,#genre#
电竞天堂,http://183.222.206.14:8096/rtp/239.93.1.135:5140
电竞天堂,http://183.222.206.14:8096/rtp/239.93.42.19:5140
电竞天堂,http://221.237.145.25:4000/rtp/239.93.1.135:5140
电竞天堂,http://221.237.145.25:4000/rtp/239.93.42.19:5140
电竞天堂,http://222.210.153.89:8888/rtp/239.93.1.135:5140
生活时尚,http://183.222.206.14:8096/rtp/239.93.0.106:5140
生活时尚,http://221.237.145.25:4000/rtp/239.93.0.106:5140
生活时尚,http://222.210.153.89:8888/rtp/239.93.0.106:5140
动感音乐,http://183.222.206.14:8096/rtp/239.93.0.198:9044
动感音乐,http://221.237.145.25:4000/rtp/239.93.0.198:9044
动感音乐,http://222.210.153.89:8888/rtp/239.93.0.198:9044
财富天下,http://183.222.206.14:8096/rtp/239.93.0.116:9136
财富天下,http://221.237.145.25:4000/rtp/239.93.0.116:9136
财富天下,http://222.210.153.89:8888/rtp/239.93.0.116:9136
游戏风云,http://183.222.206.14:8096/rtp/239.93.0.136:5140
游戏风云,http://221.237.145.25:4000/rtp/239.93.0.136:5140
游戏风云,http://222.210.153.89:8888/rtp/239.93.0.136:5140
电影频道,#genre#
科幻电影,http://183.222.206.14:8096/rtp/239.93.42.10:5140
科幻电影,http://221.237.145.25:4000/rtp/239.93.42.10:5140
科幻电影,http://222.210.153.89:8888/rtp/239.93.42.10:5140
华语影院,http://183.222.206.14:8096/rtp/239.93.0.138:5140
华语影院,http://221.237.145.25:4000/rtp/239.93.0.138:5140
经典电影,http://183.222.206.14:8096/rtp/239.93.0.57:9024
教育频道,#genre#
中国教育1,http://183.222.206.14:8096/rtp/239.93.1.111:5140
中国教育1,http://221.237.145.25:4000/rtp/239.93.1.111:5140
中国教育4,http://183.222.206.14:8096/rtp/239.93.0.50:5140
中国教育4,http://221.237.145.25:4000/rtp/239.93.0.50:5140
CGTN,http://221.237.145.25:4000/rtp/239.93.0.104:5140
CGTN,http://222.210.153.89:8888/rtp/239.93.0.104:5140
CGTN法语,http://183.222.206.14:8096/rtp/239.93.42.50:5140
CGTN法语,http://221.237.145.25:4000/rtp/239.93.42.50:5140
CGTN西语,http://221.237.145.25:4000/rtp/239.93.42.49:5140
CGTN西语,http://222.210.153.89:8888/rtp/239.93.42.49:5140
华东地区,#genre#
东方财经,http://183.222.206.14:8096/rtp/239.93.0.249:5140
东方财经,http://221.237.145.25:4000/rtp/239.93.0.249:5140
华北地区,#genre#
幸福剧场,http://183.222.206.14:8096/rtp/239.93.42.30:5140
幸福剧场,http://221.237.145.25:4000/rtp/239.93.42.30:5140
幸福娱乐,http://183.222.206.14:8096/rtp/239.93.42.31:5140
幸福娱乐,http://221.237.145.25:4000/rtp/239.93.42.31:5140
风尚生活,http://221.237.145.25:4000/rtp/239.93.42.29:5140
风尚生活,http://222.210.153.89:8888/rtp/239.93.42.29:5140
每日影院,http://183.222.206.14:8096/rtp/239.93.42.35:5140
每日影院,http://221.237.145.25:4000/rtp/239.93.42.35:5140
华中地区,#genre#
金鹰纪实,http://183.222.206.14:8096/rtp/239.93.0.130:5140
金鹰纪实,http://221.237.145.25:4000/rtp/239.93.0.130:5140
西南地区,#genre#
四川文化,http://221.237.145.25:4000/rtp/239.93.1.101:5140
四川文化,http://222.210.153.89:8888/rtp/239.93.1.101:5140
四川经济,http://221.237.145.25:4000/rtp/239.93.1.102:5140
四川新闻,http://183.222.206.14:8096/rtp/239.93.0.47:5140
四川新闻,http://221.237.145.25:4000/rtp/239.93.0.47:5140
四川新闻,http://222.210.153.89:8888/rtp/239.93.0.47:5140
四川影视,http://221.237.145.25:4000/rtp/239.93.0.166:5140
四川影视,http://222.210.153.89:8888/rtp/239.93.0.166:5140
四川科教,http://183.222.206.14:8096/rtp/239.93.42.44:5140
四川科教,http://221.237.145.25:4000/rtp/239.93.42.44:5140
四川乡村,http://221.237.145.25:4000/rtp/239.93.0.52:5140
四川乡村,http://222.210.153.89:8888/rtp/239.93.0.52:5140
星空购物,http://221.237.145.25:4000/rtp/239.93.1.144:5140
妇女儿童,http://183.222.206.14:8096/rtp/239.93.0.219:5140
妇女儿童,http://221.237.145.25:4000/rtp/239.93.0.219:5140
成都新闻,http://183.222.206.14:8096/rtp/239.93.0.16:5140
成都新闻,http://221.237.145.25:4000/rtp/239.93.0.16:5140
成都新闻,http://222.210.153.89:8888/rtp/239.93.0.16:5140
成都经济,http://183.222.206.14:8096/rtp/239.93.0.17:1239
成都都市,http://183.222.206.14:8096/rtp/239.93.0.18:1238
成都都市,http://221.237.145.25:4000/rtp/239.93.0.18:1238
成都影视,http://221.237.145.25:4000/rtp/239.93.0.19:1250
成都影视,http://222.210.153.89:8888/rtp/239.93.0.19:1250
成都公共,http://221.237.145.25:4000/rtp/239.93.1.231:5140
成都少儿,http://221.237.145.25:4000/rtp/239.93.0.21:1251
成都购物,http://183.222.206.14:8096/rtp/239.93.0.22:1252
成都购物,http://221.237.145.25:4000/rtp/239.93.0.22:1252
峨眉电影,http://183.222.206.14:8096/rtp/239.93.0.252:5140
峨眉电影,http://183.222.206.14:8096/rtp/239.93.1.54:5140
峨眉电影,http://221.237.145.25:4000/rtp/239.93.0.252:5140
峨眉电影,http://221.237.145.25:4000/rtp/239.93.1.54:5140
峨眉电影,http://222.210.153.89:8888/rtp/239.93.0.252:5140
熊猫新闻,http://183.222.206.14:8096/rtp/239.93.1.112:5140
熊猫新闻,http://222.210.153.89:8888/rtp/239.93.1.112:5140
熊猫体娱,http://221.237.145.25:4000/rtp/239.93.0.94:5140
熊猫体娱,http://222.210.153.89:8888/rtp/239.93.0.94:5140
熊猫少儿,http://183.222.206.14:8096/rtp/239.93.1.189:5140
熊猫少儿,http://221.237.145.25:4000/rtp/239.93.1.189:5140
熊猫少儿,http://222.210.153.89:8888/rtp/239.93.1.189:5140
熊猫影院,http://221.237.145.25:4000/rtp/239.93.0.214:5140
熊猫频道,http://221.237.145.25:4000/rtp/239.93.0.211:9148
金熊猫卡通,http://221.237.145.25:4000/rtp/239.93.1.172:5140
金熊猫卡通,http://222.210.153.89:8888/rtp/239.93.1.172:5140
熊猫爱生活,http://221.237.145.25:4000/rtp/239.93.1.190:5140
熊猫爱生活,http://222.210.153.89:8888/rtp/239.93.1.190:5140
大爱四川 ,http://221.237.145.25:4000/rtp/239.93.1.110:5140
大爱旅游,http://183.222.206.14:8096/rtp/239.93.42.70:5140
大爱旅游,http://221.237.145.25:4000/rtp/239.93.42.70:5140
大爱生活,http://183.222.206.14:8096/rtp/239.93.1.235:5140
大爱生活,http://221.237.145.25:4000/rtp/239.93.42.71:5140
大爱时尚,http://183.222.206.14:8096/rtp/239.93.42.72:5140
大爱时尚,http://221.237.145.25:4000/rtp/239.93.42.72:5140
大爱时尚,http://222.210.153.89:8888/rtp/239.93.42.72:5140
睛彩四川,http://221.237.145.25:4000/rtp/239.93.0.126:5140
其他频道,#genre#
920,http://221.237.145.25:4000/rtp/239.93.1.130:5140
920,http://222.210.153.89:8888/rtp/239.93.1.130:5140
921,http://221.237.145.25:4000/rtp/239.93.1.131:5140
921,http://222.210.153.89:8888/rtp/239.93.1.131:5140
922,http://221.237.145.25:4000/rtp/239.93.1.132:5140
923,http://183.222.206.14:8096/rtp/239.93.1.133:5140
923,http://221.237.145.25:4000/rtp/239.93.1.133:5140
923,http://222.210.153.89:8888/rtp/239.93.1.133:5140
924,http://221.237.145.25:4000/rtp/239.93.1.122:5140
925,http://222.210.153.89:8888/rtp/239.93.1.123:5140
926,http://183.222.206.14:8096/rtp/239.93.1.124:5140
926,http://221.237.145.25:4000/rtp/239.93.1.124:5140
927,http://221.237.145.25:4000/rtp/239.93.1.125:5140
928,http://221.237.145.25:4000/rtp/239.93.1.126:5140
上海纪实,http://183.222.206.14:8096/rtp/239.93.1.137:5140
上海纪实,http://221.237.145.25:4000/rtp/239.93.1.137:5140
上海纪实,http://222.210.153.89:8888/rtp/239.93.1.137:5140
中国交通·四川,http://183.222.206.14:8096/rtp/239.93.0.142:5140
中国交通·四川,http://221.237.145.25:4000/rtp/239.93.0.142:5140
云演艺宣传,http://221.237.145.25:4000/rtp/239.93.42.60:5140
云演艺宣传,http://222.210.153.89:8888/rtp/239.93.42.60:5140
云演艺直播,http://183.222.206.14:8096/rtp/239.93.42.59:5140
云演艺直播,http://221.237.145.25:4000/rtp/239.93.42.59:5140
云演艺直播,http://222.210.153.89:8888/rtp/239.93.42.59:5140
全球大片,http://183.222.206.14:8096/rtp/239.93.0.105:5140
全球大片,http://221.237.145.25:4000/rtp/239.93.0.105:5140
全球大片,http://222.210.153.89:8888/rtp/239.93.0.105:5140
军事,http://221.237.145.25:4000/rtp/239.93.0.204:9076
台球,http://221.237.145.25:4000/rtp/239.93.0.203:9072
台球,http://222.210.153.89:8888/rtp/239.93.0.203:9072
墨宝,http://221.237.145.25:4000/rtp/239.93.0.215:9132
墨宝,http://222.210.153.89:8888/rtp/239.93.0.215:9132
宝宝动画,http://183.222.206.14:8096/rtp/239.93.0.147:5140
宝宝动画,http://221.237.145.25:4000/rtp/239.93.0.147:5140
少儿动画,http://183.222.206.14:8096/rtp/239.93.0.193:9000
少儿动画,http://221.237.145.25:4000/rtp/239.93.0.193:9000
少儿天地,http://221.237.145.25:4000/rtp/239.93.42.34:5140
戏曲,http://183.222.206.14:8096/rtp/239.93.0.217:9208
戏曲,http://221.237.145.25:4000/rtp/239.93.0.217:9208
戏曲精选,http://183.222.206.14:8096/rtp/239.93.0.144:5140
戏曲精选,http://221.237.145.25:4000/rtp/239.93.0.144:5140
戏曲精选,http://222.210.153.89:8888/rtp/239.93.0.144:5140
收视导视,http://221.237.145.25:4000/rtp/239.93.1.39:5140
收视指南,http://183.222.206.14:8096/rtp/239.93.0.195:8012
收视指南,http://221.237.145.25:4000/rtp/239.93.0.195:8012
斗牛财经,http://183.222.206.14:8096/rtp/239.93.42.62:5140
斗牛财经,http://221.237.145.25:4000/rtp/239.93.42.62:5140
斗牛财经,http://222.210.153.89:8888/rtp/239.93.42.62:5140
星光院线,http://183.222.206.14:8096/rtp/239.93.0.139:5140
星光院线,http://221.237.145.25:4000/rtp/239.93.0.139:5140
星光院线,http://222.210.153.89:8888/rtp/239.93.0.139:5140
星空精选,http://221.237.145.25:4000/rtp/239.93.1.171:5140
来钓鱼吧,http://221.237.145.25:4000/rtp/239.93.42.8:5140
求索频道,http://221.237.145.25:4000/rtp/239.93.42.24:5140
热播剧场,http://183.222.206.14:8096/rtp/239.93.0.56:9020
热播剧场,http://221.237.145.25:4000/rtp/239.93.0.56:9020
热门剧场,http://183.222.206.14:8096/rtp/239.93.0.140:5140
热门剧场,http://222.210.153.89:8888/rtp/239.93.0.140:5140
热门综艺,http://183.222.206.14:8096/rtp/239.93.0.151:5140
热门综艺,http://221.237.145.25:4000/rtp/239.93.0.151:5140
热门综艺,http://222.210.153.89:8888/rtp/239.93.0.151:5140
爱上4K,http://222.210.153.89:8888/rtp/239.93.0.97:5140
爱体育,http://183.222.206.14:8096/rtp/239.93.0.135:9008
爱体育,http://221.237.145.25:4000/rtp/239.93.0.135:9008
爱动漫,http://221.237.145.25:4000/rtp/239.93.42.23:5140
爱喜剧,http://221.237.145.25:4000/rtp/239.93.42.9:5140
爱喜剧,http://222.210.153.89:8888/rtp/239.93.42.9:5140
爱奇谈,http://221.237.145.25:4000/rtp/239.93.42.22:5140
爱奇谈,http://222.210.153.89:8888/rtp/239.93.42.22:5140
爱宠宠物,http://183.222.206.14:8096/rtp/239.93.42.32:5140
爱宠宠物,http://221.237.145.25:4000/rtp/239.93.42.32:5140
爱幼教,http://221.237.145.25:4000/rtp/239.93.42.17:5140
爱怀旧,http://183.222.206.14:8096/rtp/239.93.42.21:5140
爱悬疑,http://221.237.145.25:4000/rtp/239.93.42.12:5140
爱悬疑,http://222.210.153.89:8888/rtp/239.93.42.12:5140
爱玩具,http://183.222.206.14:8096/rtp/239.93.42.18:5140
爱玩具,http://222.210.153.89:8888/rtp/239.93.42.18:5140
爱生活,http://221.237.145.25:4000/rtp/239.93.0.206:8028
爱生活,http://222.210.153.89:8888/rtp/239.93.0.206:8028
爱经典,http://183.222.206.14:8096/rtp/239.93.42.13:5140
爱经典,http://221.237.145.25:4000/rtp/239.93.42.13:5140
爱经典,http://222.210.153.89:8888/rtp/239.93.42.13:5140
爱谍战,http://221.237.145.25:4000/rtp/239.93.42.14:5140
爱谍战,http://222.210.153.89:8888/rtp/239.93.42.14:5140
爱赛车,http://221.237.145.25:4000/rtp/239.93.42.20:5140
爱赛车,http://222.210.153.89:8888/rtp/239.93.42.20:5140
爱都市,http://183.222.206.14:8096/rtp/239.93.42.15:5140
爱都市,http://221.237.145.25:4000/rtp/239.93.42.15:5140
爱院线,http://221.237.145.25:4000/rtp/239.93.42.11:5140
爱青春,http://221.237.145.25:4000/rtp/239.93.42.16:5140
直播室1,http://183.222.206.14:8096/rtp/239.93.1.180:5140
直播室1,http://221.237.145.25:4000/rtp/239.93.1.180:5140
直播室2,http://183.222.206.14:8096/rtp/239.93.1.181:5140
直播室2,http://221.237.145.25:4000/rtp/239.93.1.181:5140
直播室3,http://183.222.206.14:8096/rtp/239.93.1.182:5140
直播室3,http://221.237.145.25:4000/rtp/239.93.1.182:5140
直播室3,http://222.210.153.89:8888/rtp/239.93.1.182:5140
直播室4,http://221.237.145.25:4000/rtp/239.93.1.183:5140
直播室5,http://183.222.206.14:8096/rtp/239.93.1.184:5140
直播室5,http://221.237.145.25:4000/rtp/239.93.1.184:5140
直播室6,http://221.237.145.25:4000/rtp/239.93.1.185:5140
直播室6,http://222.210.153.89:8888/rtp/239.93.1.185:5140
直播室7,http://183.222.206.14:8096/rtp/239.93.1.186:5140
直播室7,http://221.237.145.25:4000/rtp/239.93.1.186:5140
直播室7,http://222.210.153.89:8888/rtp/239.93.1.186:5140
直播室8,http://221.237.145.25:4000/rtp/239.93.1.187:5140
看电影,http://183.222.206.14:8096/rtp/239.93.42.47:5140
看电影,http://221.237.145.25:4000/rtp/239.93.42.47:5140
精彩推荐,http://221.237.145.25:4000/rtp/239.93.1.5:5140
红原日干乔,http://183.222.206.14:8096/rtp/239.93.0.178:5140
红原日干乔,http://221.237.145.25:4000/rtp/239.93.0.178:5140
红原日干乔,http://222.210.153.89:8888/rtp/239.93.0.178:5140
红原月亮湾,http://183.222.206.14:8096/rtp/239.93.0.209:5140
红原月亮湾,http://221.237.145.25:4000/rtp/239.93.0.209:5140
纪实人文,http://221.237.145.25:4000/rtp/239.93.1.154:5140
股评汇,http://183.222.206.14:8096/rtp/239.93.0.141:5140
股评汇,http://221.237.145.25:4000/rtp/239.93.0.141:5140
股评汇,http://222.210.153.89:8888/rtp/239.93.0.141:5140
自贡灯会,http://221.237.145.25:4000/rtp/239.93.0.98:5140
自贡灯会,http://222.210.153.89:8888/rtp/239.93.0.98:5140
蓉城先锋,http://183.222.206.14:8096/rtp/239.93.0.91:2101
蓉城先锋,http://221.237.145.25:4000/rtp/239.93.0.91:2101
蓉城先锋,http://222.210.153.89:8888/rtp/239.93.0.91:2101
解密,http://183.222.206.14:8096/rtp/239.93.0.199:9048
解密,http://221.237.145.25:4000/rtp/239.93.0.199:9048
谍战剧场,http://183.222.206.14:8096/rtp/239.93.0.95:5140
谍战剧场,http://221.237.145.25:4000/rtp/239.93.0.95:5140
谍战剧场,http://222.210.153.89:8888/rtp/239.93.0.95:5140
足球,http://183.222.206.14:8096/rtp/239.93.0.197:9040
足球,http://221.237.145.25:4000/rtp/239.93.0.197:9040
陕西农林,http://183.222.206.14:8096/rtp/239.93.0.100:5140
陕西农林,http://221.237.145.25:4000/rtp/239.93.0.100:5140
青春动漫,http://183.222.206.14:8096/rtp/239.93.0.146:5140
青春动漫,http://221.237.145.25:4000/rtp/239.93.0.146:5140
青春动漫,http://222.210.153.89:8888/rtp/239.93.0.146:5140
魅力时尚,http://183.222.206.14:8096/rtp/239.93.0.190:9012
魅力时尚,http://221.237.145.25:4000/rtp/239.93.0.190:9012
魅力时尚,http://222.210.153.89:8888/rtp/239.93.0.190:9012
麻辣体育,http://222.210.153.89:8888/rtp/239.93.42.2:5140
更新时间,#genre#
2024-12-09 15:18:53,https://taoiptv.com/time.mp4
